INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;5244CB3A;ENDING_BASE_01;0;0;0;0;0;Factura;Factura
1;4B4D9A80;ENDING_BASE_02;1;0;0;0;0;A/A: General Pepper, ejército de Corneria;A/C: General Pepper, Exército de Corneria
2;3C4AAA16;ENDING_BASE_03;2;0;0;0;0;Pago por los servicios prestados;Pagamento pelos serviços prestados
3;222E3FB5;ENDING_BASE_04;3;0;0;0;0;Enemigos destruidos:;Inimigos abatidos:
4;55290F23;ENDING_BASE_05;4;0;0;0;0;Importe total (sp$):;Valor total (sp$):
5;4C205E99;ENDING_BASE_06;5;0;0;0;0;Unidad de mercenarios;Unidade de mercenários
6;531A7AFB;ENDING_A01_TITLE_01;6;0;0;0;0;SUPERVISING DIRECTOR;SUPERVISING DIRECTOR
7;251867C9;ENDING_A01_NAME_01;7;0;0;0;0;SHIGERU MIYAMOTO;SHIGERU MIYAMOTO
8;382DC1F8;ENDING_A02_TITLE_01;8;0;0;0;0;DIRECTORS;DIRECTORS
9;1C955B0C;ENDING_A02_NAME_01;9;0;0;0;0;YUGO HAYASHI;YUGO HAYASHI
10;1C955B0C;ENDING_A02_NAME_01;9;0;0;1;1;YUSUKE HASHIMOTO;YUSUKE HASHIMOTO
11;57EFAAC6;ENDING_A03_TITLE_01;10;0;0;0;0;PRODUCERS;PRODUCERS
12;0BEE4F4F;ENDING_A03_NAME_01;11;0;0;0;0;SHIGERU MIYAMOTO;SHIGERU MIYAMOTO
13;0BEE4F4F;ENDING_A03_NAME_01;11;0;0;1;1;TADASHI SUGIYAMA;TADASHI SUGIYAMA
14;0BEE4F4F;ENDING_A03_NAME_01;11;0;0;2;2;ATSUSHI INABA;ATSUSHI INABA
15;3533B1BF;ENDING_A04_TITLE_01;12;0;0;0;0;ASSISTANT PRODUCERS;ASSISTANT PRODUCERS
16;6F8F2286;ENDING_A04_NAME_01;13;0;0;0;0;HIROSHI MATSUNAGA;HIROSHI MATSUNAGA
17;6F8F2286;ENDING_A04_NAME_01;13;0;0;1;1;TAKANORI FUKUYAMA;TAKANORI FUKUYAMA
18;5AF1DA81;ENDING_A05_TITLE_01;14;0;0;0;0;PLANNING;PLANNING
19;78F436C5;ENDING_A05_NAME_01;15;0;0;0;0;HIRONO SATO;HIRONO SATO
20;78F436C5;ENDING_A05_NAME_01;15;0;0;1;1;AKITERU NAKA;AKITERU NAKA
21;78F436C5;ENDING_A05_NAME_01;15;0;0;2;2;RYOYA SAKABE;RYOYA SAKABE
22;78F436C5;ENDING_A05_NAME_01;15;0;0;3;3;KAZUHIDE KAWAMURA;KAZUHIDE KAWAMURA
23;31C66182;ENDING_A06_TITLE_01;16;0;0;0;0;SUPERVISORS;SUPERVISORS
24;41790A00;ENDING_A06_NAME_01;17;0;0;0;0;TAKAYA IMAMURA;TAKAYA IMAMURA
25;41790A00;ENDING_A06_NAME_01;17;0;0;1;1;KAZUAKI MORITA;KAZUAKI MORITA
26;5E040ABC;ENDING_A07_TITLE_01;18;0;0;0;0;CONCEPT ART;CONCEPT ART
27;56021E43;ENDING_A07_NAME_01;19;0;0;0;0;YUSUKE KAN;YUSUKE KAN
28;56021E43;ENDING_A07_NAME_01;19;0;0;1;1;TATSUYA YOSHIKAWA;TATSUYA YOSHIKAWA
29;56021E43;ENDING_A07_NAME_01;19;0;0;2;2;TAKAYUKI YANASE;TAKAYUKI YANASE
30;56021E43;ENDING_A07_NAME_01;19;0;0;3;3;KANETAKE EBIKAWA;KANETAKE EBIKAWA
31;2F0F5131;ENDING_A08_TITLE_01;20;0;0;0;0;CHARACTER MODELLING;CHARACTER MODELLING
32;09BBD192;ENDING_A08_NAME_01;21;0;0;0;0;KOJI ISHIDA;KOJI ISHIDA
33;09BBD192;ENDING_A08_NAME_01;21;0;0;1;1;KEIGO INOUE;KEIGO INOUE
34;09BBD192;ENDING_A08_NAME_01;21;0;0;2;2;EIJI FUNAHASHI;EIJI FUNAHASHI
35;09BBD192;ENDING_A08_NAME_01;21;0;0;3;3;TADANARI TAKAHASHI;TADANARI TAKAHASHI
36;09BBD192;ENDING_A08_NAME_01;21;0;0;4;4;HITO MATSUDAIRA;HITO MATSUDAIRA
37;09BBD192;ENDING_A08_NAME_01;21;0;0;5;5;KENJI IRIE;KENJI IRIE
38;40CD3A0F;ENDING_A09_TITLE_01;22;0;0;0;0;ENVIRONMENT ART;ENVIRONMENT ART
39;1EC0C5D1;ENDING_A09_NAME_01;23;0;0;0;0;TETSUYA KAWAI;TETSUYA KAWAI
40;1EC0C5D1;ENDING_A09_NAME_01;23;0;0;1;1;HIROKI ONISHI;HIROKI ONISHI
41;1EC0C5D1;ENDING_A09_NAME_01;23;0;0;2;2;KANA YAMAMOTO;KANA YAMAMOTO
42;1EC0C5D1;ENDING_A09_NAME_01;23;0;0;3;3;JUNPEI MASHIBA;JUNPEI MASHIBA
43;7D56CE05;ENDING_A10_TITLE_01;24;0;0;0;0;ANIMATION;ANIMATION
44;5DA118B4;ENDING_A10_NAME_01;25;0;0;0;0;HIDETOSHI KAI;HIDETOSHI KAI
45;1294A53B;ENDING_A11_TITLE_01;26;0;0;0;0;VFX ART;VFX ART
46;4ADA0CF7;ENDING_A11_NAME_01;27;0;0;0;0;KOJI TANAKA;KOJI TANAKA
47;4ADA0CF7;ENDING_A11_NAME_01;27;0;0;1;1;TAKAHIRO YASUDA;TAKAHIRO YASUDA
48;4ADA0CF7;ENDING_A11_NAME_01;27;0;0;2;2;TAKUO YAMAMOTO;TAKUO YAMAMOTO
49;4ADA0CF7;ENDING_A11_NAME_01;27;0;0;3;3;SHION NAKAJIMA;SHION NAKAJIMA
50;79A31E38;ENDING_A12_TITLE_01;28;0;0;0;0;UI ART;UI ART
51;73573032;ENDING_A12_NAME_01;29;0;0;0;0;TOMOYUKI KONDO;TOMOYUKI KONDO
52;73573032;ENDING_A12_NAME_01;29;0;0;1;1;HISAYOSHI KIJIMA;HISAYOSHI KIJIMA
53;73573032;ENDING_A12_NAME_01;29;0;0;2;2;ATSUMI OKAMOTO;ATSUMI OKAMOTO
54;73573032;ENDING_A12_NAME_01;29;0;0;3;3;RUI ONISHI;RUI ONISHI
55;16617506;ENDING_A13_TITLE_01;30;0;0;0;0;LEAD PROGRAMMING;LEAD PROGRAMMING
56;642C2471;ENDING_A13_NAME_01;31;0;0;0;0;KENJI HIGASHIYAMA;KENJI HIGASHIYAMA
57;74BD6E7F;ENDING_A14_TITLE_01;32;0;0;0;0;PLAYER PROGRAMMING;PLAYER PROGRAMMING
58;004D49B8;ENDING_A14_NAME_01;33;0;0;0;0;HIROMICHI MIYAKE;HIROMICHI MIYAKE
59;1B7F0541;ENDING_A15_TITLE_01;34;0;0;0;0;CAMERA PROGRAMMING;CAMERA PROGRAMMING
60;17365DFB;ENDING_A15_NAME_01;35;0;0;0;0;RYU SHINOMIYA;RYU SHINOMIYA
61;7048BE42;ENDING_A16_TITLE_01;36;0;0;0;0;OBJECT & ENEMY PROGRAMMING;OBJECT & ENEMY PROGRAMMING
62;2EBB613E;ENDING_A16_NAME_01;37;0;0;0;0;TATSUYA SHINADA;TATSUYA SHINADA
63;2EBB613E;ENDING_A16_NAME_01;37;0;0;1;1;NAONARI FUKUMOTO;NAONARI FUKUMOTO
64;2EBB613E;ENDING_A16_NAME_01;37;0;0;2;2;RYO TAKEBAYASHI;RYO TAKEBAYASHI
65;1F8AD57C;ENDING_A17_TITLE_01;38;0;0;0;0;NPC PROGRAMMING;NPC PROGRAMMING
66;39C0757D;ENDING_A17_NAME_01;39;0;0;0;0;YUKARI MORI;YUKARI MORI
67;6E818EF1;ENDING_A18_TITLE_01;40;0;0;0;0;STAGE PROGRAMMING;STAGE PROGRAMMING
68;6679BAAC;ENDING_A18_NAME_01;41;0;0;0;0;YUKARI SUZUKI;YUKARI SUZUKI
69;0143E5CF;ENDING_A19_TITLE_01;42;0;0;0;0;UI PROGRAMMING;UI PROGRAMMING
70;7102AEEF;ENDING_A19_NAME_01;43;0;0;0;0;SHIGEKI YOSHIDA;SHIGEKI YOSHIDA
71;7102AEEF;ENDING_A19_NAME_01;43;0;0;1;1;TAKASHI YOSHIMI;TAKASHI YOSHIMI
72;64B4A804;ENDING_A20_TITLE_01;44;0;0;0;0;SYSTEM PROGRAMMING;SYSTEM PROGRAMMING
73;3696A3B7;ENDING_A20_NAME_01;45;0;0;0;0;MAKOTO FUJIMI;MAKOTO FUJIMI
74;3696A3B7;ENDING_A20_NAME_01;45;0;0;1;1;KAZUNORI MORITA;KAZUNORI MORITA
75;3696A3B7;ENDING_A20_NAME_01;45;0;0;2;2;YUJI HAGIYAMA;YUJI HAGIYAMA
76;0B76C33A;ENDING_A21_TITLE_01;46;0;0;0;0;MUSIC;MUSIC
77;21EDB7F4;ENDING_A21_NAME_01;47;0;0;0;0;HIROSHI YAMAGUCHI;HIROSHI YAMAGUCHI
78;21EDB7F4;ENDING_A21_NAME_01;47;0;0;1;1;YUKARI SUITA;YUKARI SUITA
79;60417839;ENDING_A22_TITLE_01;48;0;0;0;0;SOUND DESIGN;SOUND DESIGN
80;18608B31;ENDING_A22_NAME_01;49;0;0;0;0;MASATAKA JOGO;MASATAKA JOGO
81;18608B31;ENDING_A22_NAME_01;49;0;0;1;1;YUJI HONDA;YUJI HONDA
82;18608B31;ENDING_A22_NAME_01;49;0;0;2;2;YASUHIRO NAKA;YASUHIRO NAKA
83;0F831307;ENDING_A23_TITLE_01;50;0;0;0;0;CINEMATIC ART;CINEMATIC ART
84;0F1B9F72;ENDING_A23_NAME_01;51;0;0;0;0;TOMOHIRO NAKANO;TOMOHIRO NAKANO
85;40FBD4E4;ENDING_A24_TXT_01;52;0;0;0;0;This game is dedicated to our wingman who fell in battle.;This game is dedicated to our wingman who fell in battle.
86;06CC2879;ENDING_B_01_TITLE_01;53;0;0;0;0;SOUND SUPERVISORS;SOUND SUPERVISORS
87;130B01EB;ENDING_B_01_NAME_01;54;0;0;0;0;KOJI KONDO;KOJI KONDO
88;130B01EB;ENDING_B_01_NAME_01;54;0;0;1;1;HAJIME WAKAI;HAJIME WAKAI
89;1FC579C3;ENDING_B_01_TITLE_02;55;0;0;0;0;SOUND SUPPORT;SOUND SUPPORT
90;0A025051;ENDING_B_01_NAME_02;56;0;0;0;0;RYOJI YOSHITOMI;RYOJI YOSHITOMI
91;0A025051;ENDING_B_01_NAME_02;56;0;0;1;1;TORU ASAKAWA;TORU ASAKAWA
92;0A025051;ENDING_B_01_NAME_02;56;0;0;2;2;MASATO MIZUTA;MASATO MIZUTA
93;6DFB937A;ENDING_B_02_TITLE_01;57;0;0;0;0;VOICE RECORDING;VOICE RECORDING
94;2A863D2E;ENDING_B_02_NAME_01;58;0;0;0;0;YOHEI MIYAGAWA;YOHEI MIYAGAWA
95;74F2C2C0;ENDING_B_02_TITLE_02;59;0;0;0;0;PLANNING;PLANNING
96;338F6C94;ENDING_B_02_NAME_02;60;0;0;0;0;RYUHEI MATSUURA;RYUHEI MATSUURA
97;338F6C94;ENDING_B_02_NAME_02;60;0;0;1;1;TOMOAKI YOSHINOBU;TOMOAKI YOSHINOBU
98;03F5F256;ENDING_B_02_TITLE_03;61;0;0;0;0;TECHNICAL SUPPORT;TECHNICAL SUPPORT
99;44885C02;ENDING_B_02_NAME_03;62;0;0;0;0;TAKEHIRO OYAMA;TAKEHIRO OYAMA
100;44885C02;ENDING_B_02_NAME_03;62;0;0;1;1;SHOTARO IWANAGA;SHOTARO IWANAGA
101;0239F844;ENDING_B_03_TITLE_01;63;0;0;0;0;PROGRAMMING SUPPORT;PROGRAMMING SUPPORT
102;3DFD296D;ENDING_B_03_NAME_01;64;0;0;0;0;KATSUHITO NISHIMURA;KATSUHITO NISHIMURA
103;3DFD296D;ENDING_B_03_NAME_01;64;0;0;1;1;YOJI INAGAKI;YOJI INAGAKI
104;3DFD296D;ENDING_B_03_NAME_01;64;0;0;2;2;TOSHIO IWAWAKI;TOSHIO IWAWAKI
105;3DFD296D;ENDING_B_03_NAME_01;64;0;0;3;3;YUJI SAWATANI;YUJI SAWATANI
106;3DFD296D;ENDING_B_03_NAME_01;64;0;0;4;4;KENZO HAYAKAWA;KENZO HAYAKAWA
107;3DFD296D;ENDING_B_03_NAME_01;64;0;0;5;5;KUNIHIRO KOMATSU;KUNIHIRO KOMATSU
108;60E5E33D;ENDING_B_04_TITLE_01;65;0;0;0;0;TOOLS SUPPORT;TOOLS SUPPORT
109;599C44A4;ENDING_B_04_NAME_01;66;0;0;0;0;RYOTA MARUKO;RYOTA MARUKO
110;599C44A4;ENDING_B_04_NAME_01;66;0;0;1;1;HISASHI SEKOGUCHI;HISASHI SEKOGUCHI
111;599C44A4;ENDING_B_04_NAME_01;66;0;0;2;2;HITOSHI KANETANI;HITOSHI KANETANI
112;0F278803;ENDING_B_05_TITLE_01;67;0;0;0;0;TECHNOLOGY TEAM;TECHNOLOGY TEAM
113;4EE750E7;ENDING_B_05_NAME_01;68;0;0;0;0;WATARU OHMORI;WATARU OHMORI
114;4EE750E7;ENDING_B_05_NAME_01;68;0;0;1;1;RYOICHI TAKAHASHI;RYOICHI TAKAHASHI
115;4EE750E7;ENDING_B_05_NAME_01;68;0;0;2;2;TAKUYA SAKAMOTO;TAKUYA SAKAMOTO
116;4EE750E7;ENDING_B_05_NAME_01;68;0;0;3;3;KEISUKE KAMAKAMI;KEISUKE KAMAKAMI
117;4EE750E7;ENDING_B_05_NAME_01;68;0;0;4;4;SHUJI KOHATA;SHUJI KOHATA
118;162ED9B9;ENDING_B_05_TITLE_02;69;0;0;0;0;OUTSOURCING;OUTSOURCING
119;57EE015D;ENDING_B_05_NAME_02;70;0;0;0;0;TETSUYA SASANO;TETSUYA SASANO
120;64103300;ENDING_B_06_TITLE_01;71;0;0;0;0;CHARACTER MODELLING;CHARACTER MODELLING
121;776A6C22;ENDING_B_06_NAME_01;72;0;0;0;0;TAKUYA KIGUCHI;TAKUYA KIGUCHI
122;776A6C22;ENDING_B_06_NAME_01;72;0;0;1;1;YOJI HOSAKA;YOJI HOSAKA
123;776A6C22;ENDING_B_06_NAME_01;72;0;0;2;2;TSUBASA NAKAMURA;TSUBASA NAKAMURA
