INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;180AFAD6;HUD_BASE_01;0;0;0;0;0;+;+
1;0103AB6C;HUD_BASE_02;1;0;0;0;0;Transmisi�n;Transmiss�o
2;1F673ECF;HUD_BASE_05;2;0;0;0;0;JEFE;CHEFE
3;066E6F75;HUD_BASE_06;3;0;0;0;0;;
4;71695FE3;HUD_BASE_07;4;0;0;0;0;!;!
5;61D64272;HUD_BASE_08;5;0;0;0;0;Volumen;Volume
6;16D172E4;HUD_BASE_09;6;0;0;0;0;+;+
7;7616FB01;HUD_BASE_10;7;0;0;0;0;R�cord;Recorde
8;0111CB97;HUD_BASE_11;8;0;0;0;0;ZL;ZL
9;18189A2D;HUD_BASE_12;9;0;0;0;0;Z;Z
10;036E5BFF;HUD_RESULT_BASE_02;10;0;0;0;0;p.;p.
11;6A0DFECA;HUD_RESULT_BASE_04;11;0;0;0;0;superada;conclu�do
12;1D0ACE5C;HUD_RESULT_BASE_05;12;0;0;0;0;Total;Total
13;1D0ACE5C;HUD_RESULT_BASE_05;12;1;1;0;0;Total;Total
14;7304AF70;HUD_RESULT_BASE_07;13;0;0;0;0;Nuevo;Novo
15;6D725A28;HUD_RESULT_BASE_13;14;0;0;0;0;Clasificaci�n;Classifica��o
16;285168C7;HUD_RESULT_BASE_21;15;0;0;0;0;Fase 1;Fase 1
17;3158397D;HUD_RESULT_BASE_22;16;0;0;0;0;Fase 2;Fase 2
18;465F09EB;HUD_RESULT_BASE_23;17;0;0;0;0;Fase 3;Fase 3
19;583B9C48;HUD_RESULT_BASE_24;18;0;0;0;0;R�cord;Recorde
20;2F3CACDE;HUD_RESULT_BASE_25;19;0;0;0;0;Bonificaci�n:;B�nus:
21;518DD063;HUD_RESULT_BASE_28;20;0;0;0;0;Tus resultados;Seus resultados
22;518DD063;HUD_RESULT_BASE_28;20;1;1;0;0;Tus resultados;Seus resultados
23;268AE0F5;HUD_RESULT_BASE_29;21;0;0;0;0;Total:;Total:
24;7316CF8B;HUD_RESULT_BASE_14;22;0;0;0;0;R�cord:;Recorde:
25;0411FF1D;HUD_RESULT_BASE_15;23;0;0;0;0;Mejor tiempo:;Melhor tempo:
26;1D18AEA7;HUD_RESULT_BASE_16;24;0;0;0;0;Tiempo:;Tempo:
27;6A1F9E31;HUD_RESULT_BASE_17;25;0;0;0;0;R�cord;Recorde
28;6A1F9E31;HUD_RESULT_BASE_17;25;0;0;1;1;actual:;atual:
29;2843083C;HUD_RESULT_BASE_32;26;0;0;0;0;Puntuaci�n actual:;Pontua��o atual:
30;5F4438AA;HUD_RESULT_BASE_33;27;0;0;0;0;Tiempo actual:;Tempo atual:
31;12632C27;HUD_CHARA_NAME_00;28;0;0;0;0;Fox;Fox
32;65641CB1;HUD_CHARA_NAME_01;29;0;0;0;0;Falco;Falco
33;7C6D4D0B;HUD_CHARA_NAME_02;30;0;0;0;0;Peppy;Peppy
34;0B6A7D9D;HUD_CHARA_NAME_03;31;0;0;0;0;Slippy;Slippy
35;150EE83E;HUD_CHARA_NAME_04;32;0;0;0;0;ROB;ROB
36;7B008912;HUD_CHARA_NAME_06;33;0;0;0;0;General Pepper;General Pepper
37;4E5B2F89;HUD_CHARA_NAME_22;34;0;0;0;0;Pigma;Pigma
38;79D139DD;HUD_CORNERIA_BOSS_CLASS_000;35;0;0;0;0;Fortaleza flotante armada;Fortaleza flutuante armada
