INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;3CE5B7F4;FOX_FORTUNA_001;0;0;0;0;0;¡Adelante, chicos! Volad bajo;Vamos lá, galera! Voeem baixo
1;3CE5B7F4;FOX_FORTUNA_001;0;0;0;1;1;para evitar los radares.;para evitar os radares.
2;52EBD6D8;FOX_FORTUNA_003;1;0;0;0;0;¡Informad de vuestro estado!;Informem a situação de vocês!
3;65AFF507;FALCO_FORTUNA_001;2;0;0;0;0;¡Estoy harto de tanta enredadera!;Estou de saco cheio de tanta confusão!
4;62C2311E;FALCO_FORTUNA_005;3;0;0;0;0;¡Deja de gritar!;Pare de gritar!
5;7BCB60A4;FALCO_FORTUNA_006;4;0;0;0;0;Va armado hasta los dientes,;Ele está armado até os dentes,
6;7BCB60A4;FALCO_FORTUNA_006;4;0;0;1;1;aunque no los tenga...;mesmo sem ter dentes...
7;0CCC5032;FALCO_FORTUNA_007;5;0;0;0;0;Sí, y no le hace ni pizca;É, e ele não acha nem um pouquinho
8;0CCC5032;FALCO_FORTUNA_007;5;0;0;1;1;de gracia...;engraçado...
9;1C734DA3;FALCO_FORTUNA_008;6;0;0;0;0;¡No es familia mía, renacuajo!;Ele não é da minha família, garotinho!
10;6B747D35;FALCO_FORTUNA_009;7;0;0;0;0;Como te pille te vas a enterar, Slippy.;Se eu te pegar, você vai se dar mal, Slippy.
11;0BB3F4D0;FALCO_FORTUNA_010;8;0;0;0;0;¡Has salido de otras peores!;Você já passou por situações piores!
12;7CB4C446;FALCO_FORTUNA_011;9;0;0;0;0;Grrr. Ella sí que es una pájara;Grrr. Ela sim é uma ave
13;7CB4C446;FALCO_FORTUNA_011;9;0;0;1;1;de cuidado...;perigosa...
14;12BAA56A;FALCO_FORTUNA_013;10;0;0;0;0;Eh, no lo has hecho mal, Fox.;Ei, você não se saiu mal, Fox.
15;0CDE30C9;FALCO_FORTUNA_014;11;0;0;0;0;¡¿Katt?! ¿No tenías a nadie más;Katt?! Você não tinha mais ninguém
16;0CDE30C9;FALCO_FORTUNA_014;11;0;0;1;1;a quien molestar?;para incomodar?
17;17549054;PEPPY_FORTUNA_002;12;0;0;0;0;¡Rápido, refugiémonos en ese túnel!;Rápido, vamos nos refugiar naquele túnel!
18;093005F7;PEPPY_FORTUNA_005;13;0;0;0;0;¡Procura esquivarlo!;Tenta desviar dele!
19;1039544D;PEPPY_FORTUNA_006;14;0;0;0;0;¡La cola también es un arma!;A cauda também é uma arma!
20;673E64DB;PEPPY_FORTUNA_007;15;0;0;0;0;Aguanta, Fox. ¡Se está;Aguenta firme, Fox. Ele está
21;673E64DB;PEPPY_FORTUNA_007;15;0;0;1;1;quedando sin energía!;ficando sem energia!
22;6041C039;PEPPY_FORTUNA_010;16;0;0;0;0;¡Todo bien!;Tudo bem!
23;1746F0AF;PEPPY_FORTUNA_011;17;0;0;0;0;¡Tiene un punto débil en la espalda!;Ele tem um ponto fraco nas costas!
24;1746F0AF;PEPPY_FORTUNA_011;17;0;0;1;1;¡Atácalo por detrás!;Ataca por trás!
25;79489183;PEPPY_FORTUNA_013;18;0;0;0;0;Por fin un espacio abierto...;Finalmente, um espaço aberto...
26;79489183;PEPPY_FORTUNA_013;18;0;0;1;1;¡Manteneos alerta, chicos!;Fiquem alertas, galera!
27;5646605F;SLIPPY_FORTUNA_004;19;0;0;0;0;¡Ostras!;Nossa!
28;214150C9;SLIPPY_FORTUNA_005;20;0;0;0;0;¡Mirad, ahí está otra vez!;Olhem, lá está ele de novo!
