INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;5752031C;FOX_SECTOR_B_001;0;0;0;0;0;¿Bill? ¿Eres tú? ¡Qué sorpresa!;Bill? É você? Que surpresa!
1;4E5B52A6;FOX_SECTOR_B_002;1;0;0;0;0;Sigues igual que en la academia, ¿eh?;Você continua igualzinho à época da academia, né?
2;4E5B52A6;FOX_SECTOR_B_002;1;0;0;1;1;¡Acepto el desafío!;Aceito o desafio!
3;2738F793;FOX_SECTOR_B_004;2;0;0;0;0;¡Recibido!;Entendido!
4;503FC705;FOX_SECTOR_B_005;3;0;0;0;0;¡Estoy dentro!;Estou dentro!
5;493696BF;FOX_SECTOR_B_006;4;0;0;0;0;¡Ey! Je, je. ¡Sabes que me debes una!;Ei! He, he. Você sabe que me deve uma!
6;3E31A629;FOX_SECTOR_B_007;5;0;0;0;0;¡Venga, vamos a echarle una mano;Vamos lá, vamos dar uma mãozinha
7;3E31A629;FOX_SECTOR_B_007;5;0;0;1;1;al general!;ao general!
8;2E8EBBB8;FOX_SECTOR_B_008;6;0;0;0;0;¡Peppy!;Peppy!
9;59898B2E;FOX_SECTOR_B_009;7;0;0;0;0;¡Informad de vuestro estado!;Informem a posição de vocês!
10;394E02CB;FOX_SECTOR_B_010;8;0;0;0;0;ROB, ¿tienes la posición de Peppy?;ROB, você tem a posição do Peppy?
11;4E49325D;FOX_SECTOR_B_011;9;0;0;0;0;El que faltaba...;Faltava só ele...
12;574063E7;FOX_SECTOR_B_012;10;0;0;0;0;¡Katt! ¡Me alegro de verte!;Katt! Que bom te ver!
13;733FEAF8;FALCO_SECTOR_B_001;11;0;0;0;0;Slippy, ¿estos dos han sido;Slippy, esses dois sempre foram
14;733FEAF8;FALCO_SECTOR_B_001;11;0;0;1;1;siempre así de plastas?;chatos assim?
15;6A36BB42;FALCO_SECTOR_B_002;12;0;0;0;0;¡Mirad! ¡Ahí llega el plato fuerte!;Olhem! Lá vem o prato principal!
16;1D318BD4;FALCO_SECTOR_B_003;13;0;0;0;0;¡Usa el turbo para colarte dentro!;Use o turbo pra se infiltrar lá dentro!
17;03551E77;FALCO_SECTOR_B_004;14;0;0;0;0;No cantéis victoria aún.;Não comemorem ainda.
18;03551E77;FALCO_SECTOR_B_004;14;0;0;1;1;¡Tenemos visita!;Temos visita!
19;74522EE1;FALCO_SECTOR_B_005;15;0;0;0;0;¡No dejan de aparecer enemigos!;Os inimigos não param de aparecer!
20;6D5B7F5B;FALCO_SECTOR_B_006;16;0;0;0;0;¡Esas naves no son moco de pavo!;Essas naves não são brincadeira!
21;1A5C4FCD;FALCO_SECTOR_B_007;17;0;0;0;0;¡Uno menos!;Um a menos!
22;0AE3525C;FALCO_SECTOR_B_008;18;0;0;0;0;¡Nadie puede con Falco!;Ninguém consegue derrotar o Falco!
