INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;7EB8BFAD;FOX_SECTOR_OMEGA_001;0;0;0;0;0;Difusor de antigravitación-G;Difusor G-Antigravidade
1;7EB8BFAD;FOX_SECTOR_OMEGA_001;0;0;0;1;1;al máximo. ¡A toda velocidad!;no máximo. A toda velocidade!
2;67B1EE17;FOX_SECTOR_OMEGA_002;1;0;0;0;0;¡Siento salir disparado,;Desculpa por sair disparado,
3;67B1EE17;FOX_SECTOR_OMEGA_002;1;0;0;1;1;pero tengo prisa!;mas estou com pressa!
4;10B6DE81;FOX_SECTOR_OMEGA_003;2;0;0;0;0;¡Cambiando a modo abierto!;Mudando para o modo livre!
5;0ED24B22;FOX_SECTOR_OMEGA_004;3;0;0;0;0;¡Recibido!;Entendido!
6;6DC673D6;FALCO_SECTOR_OMEGA_001;4;0;0;0;0;¡Os voy a enseñar a pilotar de verdad!;Vou mostrar a vocês como se pilota na boa!
7;74CF226C;FALCO_SECTOR_OMEGA_002;5;0;0;0;0;¡Detrás de ti!;Estou atrás de você!
8;03C812FA;FALCO_SECTOR_OMEGA_003;6;0;0;0;0;¡Esto es peor que volar cuando;É pior do que voar
9;03C812FA;FALCO_SECTOR_OMEGA_003;6;0;0;1;1;hay niebla!;na neblina!
10;73A2E675;FALCO_SECTOR_OMEGA_006;7;0;0;0;0;¿Qué locura es esta?;Que loucura é essa?
11;141ACB72;FALCO_SECTOR_OMEGA_008;8;0;0;0;0;¡Ven a por nosotros!;Venham nos pegar!
12;631DFBE4;FALCO_SECTOR_OMEGA_009;9;0;0;0;0;¡Bien! ¡Lo estás consiguiendo!;Ótimo! Você está conseguindo!
13;03DA7201;FALCO_SECTOR_OMEGA_010;10;0;0;0;0;¡Cuidado, Fox!;Cuidado, Fox!
14;74DD4297;FALCO_SECTOR_OMEGA_011;11;0;0;0;0;¡Me quedo el lado izquierdo!;Vou contornar pela esquerda!
15;6DD4132D;FALCO_SECTOR_OMEGA_012;12;0;0;0;0;¡Yo cubriré el flanco derecho!;Estou contornando pela direita!
16;04B7B618;FALCO_SECTOR_OMEGA_014;13;0;0;0;0;Reconozco que me has;Admito que você me
17;04B7B618;FALCO_SECTOR_OMEGA_014;13;0;0;1;1;sorprendido, Fox.;surpreendeu, Fox.
18;1E0BFDE6;PEPPY_SECTOR_OMEGA_002;14;0;0;0;0;¡Sigo por abajo!;Vou continuar por baixo!
19;690CCD70;PEPPY_SECTOR_OMEGA_003;15;0;0;0;0;¡Fox, vuela hacia arriba!;Fox, voe para cima!
20;776858D3;PEPPY_SECTOR_OMEGA_004;16;0;0;0;0;¡Cuidado con los bloques;Cuidado com os blocos
21;776858D3;PEPPY_SECTOR_OMEGA_004;16;0;0;1;1;giratorios!;giratórios!
22;006F6845;PEPPY_SECTOR_OMEGA_005;17;0;0;0;0;¿Estáis todos bien?;Vocês estão todos bem?
23;196639FF;PEPPY_SECTOR_OMEGA_006;18;0;0;0;0;¡Algo se aproxima por arriba!;Algo está se aproximando por cima!
24;196639FF;PEPPY_SECTOR_OMEGA_006;18;0;0;1;1;¡Atentos!;Fiquem atentos!
25;7EDE14F8;PEPPY_SECTOR_OMEGA_008;19;0;0;0;0;¡Tenemos que abrirnos paso!;Temos que abrir caminho!
26;09D9246E;PEPPY_SECTOR_OMEGA_009;20;0;0;0;0;Slippy, ¿qué pasa con ese análisis?;Slippy, e aquela análise?
27;09D9246E;PEPPY_SECTOR_OMEGA_009;20;0;0;1;1;¡Date prisa!;Depressa!
28;691EAD8B;PEPPY_SECTOR_OMEGA_010;21;0;0;0;0;¡Ahora, Fox! ¡Dispara!;Agora, Fox! Atire!
29;1E199D1D;PEPPY_SECTOR_OMEGA_011;22;0;0;0;0;¡Cuidado, Fox!;Cuidado, Fox!
30;0710CCA7;PEPPY_SECTOR_OMEGA_012;23;0;0;0;0;¡No podemos permitirnos;Não podemos nos dar ao luxo
31;0710CCA7;PEPPY_SECTOR_OMEGA_012;23;0;0;1;1;el menor error!;de cometer o menor erro!
32;7017FC31;PEPPY_SECTOR_OMEGA_013;24;0;0;0;0;¡Dispara a las aberturas!;Atire nas aberturas!
33;6E736992;PEPPY_SECTOR_OMEGA_014;25;0;0;0;0;¡Aprovecha antes de que dispare!;Aproveita antes que ele atire!
34;19745904;PEPPY_SECTOR_OMEGA_015;26;0;0;0;0;¡Eso es! ¡Sigue así!;É isso aí! Continua assim!
35;007D08BE;PEPPY_SECTOR_OMEGA_016;27;0;0;0;0;¡De arriba me encargo yo!;De cima eu cuido!
36;777A3828;PEPPY_SECTOR_OMEGA_017;28;0;0;0;0;¡Yo voy por abajo!;Eu vou por baixo!
37;67C525B9;PEPPY_SECTOR_OMEGA_018;29;0;0;0;0;¡Frena!;Freia!
38;4233FE48;PEPPY_SECTOR_OMEGA_020;30;0;0;0;0;¡Eso es! ¡Sigue así!;É isso aí! Continua assim!
39;562D61AD;SLIPPY_SECTOR_OMEGA_001;31;0;0;0;0;¡Yuju! ¡Vamos a toda pastilla!;Uau! Vamos a toda velocidade!
40;38230081;SLIPPY_SECTOR_OMEGA_003;32;0;0;0;0;¡Uf, qué mareo!;Ufa, que tontura!
