INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;61EF711C;CORE_CHAR_INI_01;0;0;0;0;0;F;F
1;78E620A6;CORE_CHAR_INI_02;1;0;0;0;0;P;P
2;0FE11030;CORE_CHAR_INI_03;2;0;0;0;0;S;S
3;11858593;CORE_CHAR_INI_04;3;0;0;0;0;R;R
4;6682B505;CORE_CHAR_INI_05;4;0;0;0;0;J;J
5;7F8BE4BF;CORE_CHAR_INI_06;5;0;0;0;0;P;P
6;088CD429;CORE_CHAR_INI_07;6;0;0;0;0;B;B
7;1833C9B8;CORE_CHAR_INI_08;7;0;0;0;0;K;K
8;762FC86F;CORE_CHAR_INI_19;8;0;0;0;0;A;A
9;24DE2308;CORE_CHAR_INI_20;9;0;0;0;0;W;W
10;53D9139E;CORE_CHAR_INI_21;10;0;0;0;0;L;L
11;4AD04224;CORE_CHAR_INI_22;11;0;0;0;0;P;P
12;3DD772B2;CORE_CHAR_INI_23;12;0;0;0;0;A;A
13;5D029BAC;CORE_CHAR_INI_29;13;0;0;0;0;D;D
14;56E08B37;CORE_YN_01;14;0;0;0;0;Sí;Sim
15;4FE9DA8D;CORE_YN_02;15;0;0;0;0;No;Não
16;38EEEA1B;CORE_YN_03;16;0;0;0;0;Aceptar;Aceitar
17;268A7FB8;CORE_YN_04;17;0;0;0;0;Cerrar;Fechar
18;0B082914;CORE_BASE_01;18;0;0;0;0;{button:B};{button:B}
19;0B082914;CORE_BASE_01;18;0;0;1;1;Cerrar;Fechar
20;120178AE;CORE_BASE_02;19;0;0;0;0;{button:A};{button:A}
21;120178AE;CORE_BASE_02;19;0;0;1;1;Seguir;Seguir
22;156CBCB7;CORE_BASE_06;20;0;0;0;0;{button:A};{button:A}
23;156CBCB7;CORE_BASE_06;20;0;0;1;1;Aceptar;Aceitar
24;65064838;CORE_BASE_03;21;0;0;0;0;Principal;Principal
25;7B62DD9B;CORE_BASE_04;22;0;0;0;0;Satélite 1;Satélite 1
