INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;5E726891;PEPPY_TRAINING_004;0;0;0;0;0;Inclina {button:21} hacia arriba para acelerar.;Incline {button:21} para cima para acelerar.
1;29755807;PEPPY_TRAINING_005;1;0;0;0;0;Inclina {button:21} hacia abajo para frenar.;Incline {button:21} para baixo para frear.
2;307C09BD;PEPPY_TRAINING_006;2;0;0;0;0;Vuela hacia arriba a la vez;Voe para cima enquanto acelera 
3;307C09BD;PEPPY_TRAINING_006;2;0;0;1;1;que aceleras para hacer un rizo.;para realizar um looping.
4;477B392B;PEPPY_TRAINING_007;3;0;0;0;0;Las marcas sobre los Arwing indican;As marcações nos Arwings indicam nossa
5;477B392B;PEPPY_TRAINING_007;3;0;0;1;1;nuestra posición. ¡A ver si nos alcanzas!;posição. Vamos ver se você consegue nos pegar!
6;57C424BA;PEPPY_TRAINING_008;4;0;0;0;0;Aprovecha la vista de cabina del;Aproveite a visão do cockpit do 
7;57C424BA;PEPPY_TRAINING_008;4;0;0;1;1;GamePad para apuntar con precisión.;GamePad para mirar com precisão.
8;20C3142C;PEPPY_TRAINING_009;5;0;0;0;0;Usa el control por movimiento;Use os controles de movimento do
9;20C3142C;PEPPY_TRAINING_009;5;0;0;1;1;del GamePad para apuntar.;GamePad para mirar.
10;40049DC9;PEPPY_TRAINING_010;6;0;0;0;0;Pulsa {button:9} para disparar el láser principal.;Aperte {button:9} para disparar o laser principal.
11;3703AD5F;PEPPY_TRAINING_011;7;0;0;0;0;Pulsa {button:LeftStickPress} o {button:Y} para recalibrar la mirilla.;Aperte {button:LeftStickPress} ou {button:Y} para recalibrar a mira.
12;2E0AFCE5;PEPPY_TRAINING_012;8;0;0;0;0;Vamos a practicar en modo abierto.;Vamos praticar no modo livre
13;590DCC73;PEPPY_TRAINING_013;9;0;0;0;0;En este modo puedes moverte;Nesse modo você pode se mover
14;590DCC73;PEPPY_TRAINING_013;9;0;0;1;1;con total libertad.;com total liberdade.
15;476959D0;PEPPY_TRAINING_014;10;0;0;0;0;Mantén pulsado {button:L} para fijar el objetivo.;Segure {button:L} para travar a mira no alvo.
16;306E6946;PEPPY_TRAINING_015;11;0;0;0;0;Con la vista de cabina podrás ver;Com a visão da cabine de comando, você
17;306E6946;PEPPY_TRAINING_015;11;0;0;1;1;siempre lo que hay delante de ti.;sempre pode ver o que está à sua frente.
18;296738FC;PEPPY_TRAINING_016;12;0;0;0;0;Si quieres invertir los controles de vuelo,;Se você quiser inverter os comandos de voo,
19;296738FC;PEPPY_TRAINING_016;12;0;0;1;1;puedes hacerlo desde el menú de pausa.;pode fazê-lo através do menu de pausa.
20;5E60086A;PEPPY_TRAINING_017;13;0;0;0;0;Antes de entrar en combate,;Antes de entrarmos em combate,
21;5E60086A;PEPPY_TRAINING_017;13;0;0;1;1;repasemos los controles.;vamos revisar os controles.
22;39D8256D;PEPPY_TRAINING_019;14;0;0;0;0;Inclina {button:DPadLeftRight} hacia abajo para ascender;Incline o {button:DPadLeftRight} para baixo para subir 
23;39D8256D;PEPPY_TRAINING_019;14;0;0;1;1;y hacia arriba para descender.;e para cima para descer.
24;6B29CE0A;PEPPY_TRAINING_020;15;0;0;0;0;Cambiemos a la vista en;Vamos mudar para a visão em 
25;6B29CE0A;PEPPY_TRAINING_020;15;0;0;1;1;3.ª persona en el televisor.;terceira pessoa na tela.
