INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;62C74F81;PAU_MENU_BASE_001;0;0;0;0;0;Continuar;Continuar
1;7BCE1E3B;PAU_MENU_BASE_002;1;0;0;0;0;Reiniciar la misión;Reiniciar a missão
2;75DD4F83;PAU_MENU_BASE_802;2;0;0;0;0;Reiniciar el entrenamiento;Reiniciar o treinamento
3;0CC92EAD;PAU_MENU_BASE_003;3;0;0;0;0;Salir;Sair
4;0F4DFAC3;PAU_MENU_BASE_203;4;0;0;0;0;Salir;Sair
5;03181522;PAU_MENU_BASE_903;5;0;0;0;0;Salir;Sair
6;02DA7F15;PAU_MENU_BASE_803;6;0;0;0;0;Salir;Sair
7;09863828;PAU_MENU_BASE_703;7;0;0;0;0;Salir;Sair
8;4947F90D;PAU_MENU_INFO_002;8;0;0;0;0;Quieres volver a empezar;Deseja reiniciar
9;4947F90D;PAU_MENU_INFO_002;8;0;0;1;1;la misión?;a missão?
10;4754A8B5;PAU_MENU_INFO_802;9;0;0;0;0;Quieres volver a empezar;Deseja reiniciar
11;4754A8B5;PAU_MENU_INFO_802;9;0;0;1;1;la simulación?;a simulacão?
12;3E40C99B;PAU_MENU_INFO_003;10;0;0;0;0;Quieres abandonar la misión?;Deseja abandonar a missão?
13;3E40C99B;PAU_MENU_INFO_003;10;0;0;1;1;Se perderán los datos no guardados.;Dados não salvos serão perdidos.
14;3DC41DF5;PAU_MENU_INFO_203;11;0;0;0;0;Quieres regresar a;Deseja voltar para
15;3DC41DF5;PAU_MENU_INFO_203;11;0;0;1;1;la pantalla de récords?;a tela de salvamento?
16;3DC41DF5;PAU_MENU_INFO_203;11;0;0;2;2;Se perderán los datos no guardados.;Dados não salvos serão perdidos.
17;30539823;PAU_MENU_INFO_803;12;0;0;0;0;Quieres salir del modo Entrenamiento?;Deseja sair do modo Treinamento?
18;3B0FDF1E;PAU_MENU_INFO_703;13;0;0;0;0;Quieres regresar a la pantalla;Deseja retornar a tela
19;3B0FDF1E;PAU_MENU_INFO_703;13;0;0;1;1;de selección de misión?;de selecão de missão?
20;3B0FDF1E;PAU_MENU_INFO_703;13;0;0;2;2;Se perderán los datos no guardados.;Dados não salvos serão perdidos.
21;3191F214;PAU_MENU_INFO_903;14;0;0;0;0;Quieres regresar a la pantalla;Deseja retornar a tela
22;3191F214;PAU_MENU_INFO_903;14;0;0;1;1;de selección de misión?;de selecão de missão?
23;3191F214;PAU_MENU_INFO_903;14;0;0;2;2;Se perderán los datos no guardados.;Dadosnão salvos serão perdidos.
24;0E8F90F4;PAU_MENU_BASE_303;15;0;0;0;0;Salir;Sair
25;4B014754;PAU_MENU_INFO_302;16;0;0;0;0;Quieres utilizar los tres;Deseja usar os 3 anéis de
26;4B014754;PAU_MENU_INFO_302;16;0;0;1;1;aros dorados y volver;de ouro e comecar a
27;4B014754;PAU_MENU_INFO_302;16;0;0;2;2;a empezar la misión?;missão novamente?
28;3C0677C2;PAU_MENU_INFO_303;17;0;0;0;0;Quieres abandonar la partida?;Deseja abandonar o jogo?
29;3C0677C2;PAU_MENU_INFO_303;17;0;0;1;1;No se guardará la puntuación actual.;A pontuacão atual não será salva.
30;21825ACA;PAU_MENU_INFO_500;18;0;0;0;0;Quieres repetir la misión?;Deseja repetir a missão?
31;56856A5C;PAU_MENU_INFO_501;19;0;0;0;0;Sí;Sim
32;4F8C3BE6;PAU_MENU_INFO_502;20;0;0;0;0;No;Não
33;388B0B70;PAU_MENU_INFO_503;21;0;0;0;0;Se te va a enviar una caja de suministros;Receberá um pacote de suprimentos contendo 
34;388B0B70;PAU_MENU_INFO_503;21;0;0;1;1;que contiene un emblema dorado. Al recogerlo,;um emblema dourado. Coletá-lo lhe dará
35;388B0B70;PAU_MENU_INFO_503;21;0;0;2;2;serás invencible durante la misión,;invencibilidade durante a missão, mas
36;388B0B70;PAU_MENU_INFO_503;21;0;0;3;3;pero no se guardará la puntuación.;sua pontuacão não será salva.
37;26EF9ED3;PAU_MENU_INFO_504;22;0;0;0;0;No;Não
38;54C3D405;PAU_MENU_INFO_601;23;0;0;0;0;El mando del jugador 2 se ha desconectado.;Controle do jogador 2 foi desconectado.
39;54C3D405;PAU_MENU_INFO_601;23;0;0;1;1;Puede que la batería se haya agotado.;A bateria pode estar descarregada.
40;54C3D405;PAU_MENU_INFO_601;23;0;0;2;2;Compruébalo, conecta de nuevo el mando;Verifique, reconecte o controle
41;54C3D405;PAU_MENU_INFO_601;23;0;0;3;3;"y selecciona ""Aceptar"" para continuar.";"e selecione ""Aceitar"" para continuar."
42;4DCA85BF;PAU_MENU_INFO_602;24;0;0;0;0;Continuar;Continuar
43;3ACDB529;PAU_MENU_INFO_603;25;0;0;0;0;El jugador 2 necesita un mando Pro de;Jogador 2 precisa de um Pro Controller
44;3ACDB529;PAU_MENU_INFO_603;25;0;0;1;1;Wii U o un mando de Wii y un Nunchuk.;Wii U ou um Wii Remote e um Nunchuk.
45;3ACDB529;PAU_MENU_INFO_603;25;0;0;2;2;Pulsa {button:A} en el que quieras utilizar.;Aperte {button:A} naquele que deseja usar.
46;53AE101C;PAU_MENU_INFO_605;26;0;0;0;0;Voltar;Voltar
47;3DA07130;PAU_MENU_INFO_607;27;0;0;0;0;Sair;Sair
48;4AA741A6;PAU_MENU_INFO_606;28;0;0;0;0;Quieres abandonar la misión?;Deseja abandonar a missão? Seu progresso e pontuacão não serão salvos.
49;4AA741A6;PAU_MENU_INFO_606;28;0;0;1;1;No se guardarán el progreso;Seu progresso e pontuacão
50;4AA741A6;PAU_MENU_INFO_606;28;0;0;2;2;ni la puntuación.;não serão salvos.
51;4DD8E544;PAU_MENU_INFO_611;29;0;0;0;0;Mando del jugador 2 detectado.;Controle do jogador 2 detectado.
52;063897D4;PAU_BUTTON_001;30;0;0;0;0;Controles;Controles
53;1F31C66E;PAU_BUTTON_002;31;0;0;0;0;Subir;Subir
54;6836F6F8;PAU_BUTTON_003;32;0;0;0;0;Bajar;Descer
55;7652635B;PAU_BUTTON_004;33;0;0;0;0;Miiverse;Miiverso
56;015553CD;PAU_BUTTON_005;34;0;0;0;0;Voces 3D;Vozes 3D
57;185C0277;PAU_BUTTON_006;35;0;0;0;0;Sí;Sim
58;6F5B32E1;PAU_BUTTON_007;36;0;0;0;0;No;Não
59;7FE42F70;PAU_BUTTON_008;37;0;0;0;0;Controles;Controles
60;08E31FE6;PAU_BUTTON_009;38;0;0;0;0;Tipo A;Tipo A
61;68249603;PAU_BUTTON_010;39;0;0;0;0;Tipo B;Tipo B
62;1F23A695;PAU_BUTTON_011;40;0;0;0;0;Control por movimiento;Controle de movimento
63;062AF72F;PAU_BUTTON_012;41;0;0;0;0;Siempre;Sempre
64;712DC7B9;PAU_BUTTON_013;42;0;0;0;0;Al usar {button:9};Ao usar {button:9}
65;1DFD1045;PAU_CONTROLS_001;43;0;0;0;0;Controles del Arwing;Controles da Arwing
66;1DFD1045;PAU_CONTROLS_001;43;1;1;0;0;Controles del Arwing;Controles da Arwing
67;04F441FF;PAU_CONTROLS_002;44;0;0;0;0;Láser;lazer
68;73F37169;PAU_CONTROLS_003;45;0;0;0;0;Fijar objetivo;Visualizar objetivo
69;6D97E4CA;PAU_CONTROLS_004;46;0;0;0;0;Rizo;Loop
70;1A90D45C;PAU_CONTROLS_005;47;0;0;0;0;Cambio de sentido;Retorno
71;039985E6;PAU_CONTROLS_006;48;0;0;0;0;Turbo;Turbo
72;749EB570;PAU_CONTROLS_007;49;0;0;0;0;Frenar;Freio
73;6421A8E1;PAU_CONTROLS_008;50;0;0;0;0;Tonel;Barril
74;13269877;PAU_CONTROLS_009;51;0;0;0;0;Transformarse;Transformar
75;73E11192;PAU_CONTROLS_010;52;0;0;0;0;Cambiar vista;Alterar visualizacão
76;04E62104;PAU_CONTROLS_011;53;0;0;0;0;Moverse;Mover
77;1DEF70BE;PAU_CONTROLS_012;54;0;0;0;0;Mantener pulsado y soltar:;Segure e solte:
78;1DEF70BE;PAU_CONTROLS_012;54;0;0;1;1;disparo cargado;disparo carregado
79;6AE84028;PAU_CONTROLS_013;55;0;0;0;0;Inclinar;Inclinar
80;748CD58B;PAU_CONTROLS_014;56;0;0;0;0;Tonel;Barril
81;038BE51D;PAU_CONTROLS_015;57;0;0;0;0;o {button:Y} Recalibrar mirilla;o {button:Y} Recalibrar o visor
82;1A82B4A7;PAU_CONTROLS_016;58;0;0;0;0;Controles por movimiento:;Controles de movimento:
83;1A82B4A7;PAU_CONTROLS_016;58;0;0;1;1;mover la mirilla;mova a mira
84;6D858431;PAU_CONTROLS_017;59;0;0;0;0;(solo en modo abierto);(apenas no modo livre)
85;7D3A99A0;PAU_CONTROLS_018;60;0;0;0;0;Láser simple;Laser único
86;0A3DA936;PAU_CONTROLS_019;61;0;0;0;0;o {button:29} Bomba;ou {button:29} Bomba
87;58CC4251;PAU_CONTROLS_020;62;0;0;0;0;Recalibrar mirilla;Recalibrar o visor
88;0E96E5D7;PAU_CONTROLS_040;63;0;0;0;0;Rizo;Loop
89;7991D541;PAU_CONTROLS_041;64;0;0;0;0;Cambio de sentido;Retorno
90;609884FB;PAU_CONTROLS_042;65;0;0;0;0;Tonel;Barril
91;178DD496;PAU_CONTROLS_050;66;0;0;0;0;(Rápidamente);(Rapidamente)
92;608AE400;PAU_CONTROLS_051;67;0;0;0;0;(Rápidamente);(Rapidamente)
93;3CA08755;PAU_CONTROLS_060;68;0;0;0;0;{button:40}{button:100} + {button:200}{button:43};{button:40}{button:100} + {button:200}{button:43}
94;4BA7B7C3;PAU_CONTROLS_061;69;0;0;0;0;{button:40}{button:100} + {button:200}{button:40};{button:40}{button:100} + {button:200}{button:40}
95;52AEE679;PAU_CONTROLS_062;70;0;0;0;0;{button:300} {button:41}{button:41}{button:200}{button:42}{button:42};{button:300} {button:41}{button:41}{button:200}{button:42}{button:42}
96;25A9D6EF;PAU_CONTROLS_063;71;0;0;0;0;{button:39}{button:100} + {button:200}{button:43};{button:39}{button:100} + {button:200}{button:43}
97;3BCD434C;PAU_CONTROLS_064;72;0;0;0;0;{button:39}{button:100} + {button:200}{button:40};{button:39}{button:100} + {button:200}{button:40}
98;25BBB614;PAU_CONTROLS_070;73;0;0;0;0;Sorprende a tus;Surpreenda seus
99;25BBB614;PAU_CONTROLS_070;73;0;0;1;1;perseguidores;perseguidores
100;25BBB614;PAU_CONTROLS_070;73;0;0;2;2;haciendo un rizo.;fazendo um loop.
101;52BC8682;PAU_CONTROLS_071;74;0;0;0;0;Usa esta maniobra para;Use esta manobra para
102;52BC8682;PAU_CONTROLS_071;74;0;0;1;1;cambiar de sentido;mudar de direcão
103;52BC8682;PAU_CONTROLS_071;74;0;0;2;2;(solo en modo abierto).;(somente no modo livre).
